uid,label,direction_std,duration,e2e_distance,hjorthRatio,hjorthRatio2,hjorthRatio3,mean_step_speed,stddev_step_speed,track_length
lab_0_0,0,0.1477992544711319,300.0,40.40877174574849,2.892012430757148,0.0012565144336004151,25667,0.1730878285772176,0.10014095198813815,51.926348573165285
lab_0_1,0,0.15033745360207337,300.0,32.95732246405949,0.7818123189989276,0.0030891300177464725,27472,0.1650476614328481,0.08619363543140106,49.514298429854435
lab_0_2,0,0.16347772960797305,300.0,31.649486141168218,3.549139673880515,0.00040574763063598725,16864,0.16738812570567846,0.09917697333255542,50.216437711703534
lab_0_3,0,0.19643523077311983,300.0,42.52494808932751,2.8023017663798986,6.694589941500451e-05,14987,0.21592692177618394,0.10979698441029707,64.77807653285518
lab_0_4,0,0.13761916125469015,300.0,1.616935682085197,0.0003361894127497043,0.000594436837150318,43628,0.09778595893060893,0.0969844810748326,29.33578767918268
lab_0_5,1,1.663850473664715,117.0,339.8043588243093,2899.0643965100144,0.07196185154545853,545,3.263915719831237,0.7418042588539931,381.87813922025475
lab_0_6,1,1.8957703641424481,157.0,147.71040836718308,145.94227702601933,0.04901392627278438,1046,1.9504918201789678,0.821394668120148,306.22721576809795
lab_1_0,1,4.218332637955955,300.0,961.6761409123136,5262.724561664319,3.748997667831309e-05,7203,4.621280730051717,2.5911162743856155,1386.3842190155153
lab_1_1,0,0.030727186659373806,300.0,36.49657518178932,0.004552459797773533,0.002151136729494317,33444,0.12528391629707983,0.0069354392266313195,37.58517488912395
lab_1_2,0,0.055903488263255904,20.0,2.23606797749979,0.003981270354322141,0.0,210,0.11180397130839168,0.05590234341843211,2.2360794261678336
lab_1_3,1,4.517578854996458,90.0,1085.7927979131193,26033.203818193,0.00011058633767168037,491,12.513858438965908,3.0595350250522833,1126.2472595069316
lab_1_4,0,1.332994748676828,40.0,247.54191564258366,2997.5684997171425,0.0,820,6.274431987095902,0.8405374704959769,250.97727948383607
lab_1_5,1,8.000282341956463,112.0,255.01764644824092,108931.77924455967,0.09800556406141427,77,7.7445549672350165,3.0349393031428376,867.3901563303218
lab_1_6,1,6.331472443251568,85.0,1045.1913700370856,650341.1210979938,9.31848624068196e-07,602,13.423882295707177,3.3298077200006366,1141.02999513511
lab_1_7,1,2.8466940528146796,47.0,146.57762448614045,135.20897414960302,0.0,1128,4.042375201204968,1.220241852868358,189.9916344566335
lab_1_8,1,2.484325864293974,8.0,42.2965719651132,1415.7801448528094,0.0,36,5.361343395001338,2.319697609792176,42.890747160010704
lab_2_0,1,6.460434697553511,51.0,380.1473398565351,85049.00623778677,0.0,1326,8.566769506125334,4.8895649986455805,436.905244812392
lab_2_1,1,5.216495823281501,127.0,688.7437840009883,157957.60804767194,0.0002734714708702193,22,6.789065377066827,3.2451956492599114,862.211302887487
lab_2_2,1,3.779940591891021,47.0,641.0818980442358,87938.79369129677,0.0,1128,14.027560283552868,1.8884398440198866,659.2953333269847
lab_2_3,1,6.33727714456708,91.0,585.702996406882,88622.54114348289,0.01147854182087292,445,8.696963940553196,2.439224173454702,791.4237185903409
